Sunderland (105 Newcastle Road),Sunderland (Newcastle Road),
"Sunniside, 26 Sunniside Rd.","Sunniside, Sunniside Rd.",
"Sunniside, 52 Sunniside Rd","Sunniside, Sunniside Road",
"Sunniside, 52 Sunniside Rd.","Sunniside, Sunniside Road",
"Sunniside, 52 Sunniside Road","Sunniside, Sunniside Road",
"TAWBRAE, (37, TAWBRAE), GURLISH WEST","TAWBRAE, GURLISH WEST",
"Whickham, 52 Sunniside Road","Whickham, Sunniside Road",
"Whitburn, 10 Lizard Lane","Whitburn, Lizard Lane",
"Stillington, 18 Weare Grove","Stillington, Weare Grove",
"Garden of 18 Priory Avenue, Whitley Bay","Priory Avenue, Whitley Bay",
"Whitley bay, garden of 18 priory Avenue","Priory Avenue, Whitley Bay",
my front garden at 9 sandiacres jarrow,sandiacres jarrow,
garden of my house  9 sandiacres hedworth jarrow,sandiacres jarrow,
"7?11 Raby Avenue, Barnard Castle, England, GB","Raby Avenue, Barnard Castle",
"1?2 The Old Forge, Stocksfield, England, GB","The Old Forge, Stocksfield",
"2?8 Links Road, Bamburgh, England, GB","Links Road, Bamburgh",
"Garden 26 The Oval, NE18 0PJ","The Oval, NE18 0PJ",
"Former Ryecroft Hotel, 28 Ryecroft Way, Wooler, NE71 6AB","Ryecroft Way, Wooler, NE71 6AB",
"Cheviot Cottage, 4 West Weetwood",West Weetwood,
Whitley Bay - 22 Briar Avenue,Whitley Bay - Briar Avenue,
"3 and 4 Harle Close, West Denton, Newcastle, NE5 5EH.","Harle Close, West Denton, Newcastle, NE5 5EH.",
"The Masons Arms, 3 Dial Place","The Masons Arms, Dial Place",
"Dave Green's garden ponds, 33 Willow Road East, Darlington","Garden pond, Willow Road East, Darlington",
"Garden, 10 Highfield Road, Hartburn, StocktononTees, TS18 5HG","Garden, Highfield Road, Hartburn, StocktononTees, TS18 5HG",
"2-6 Jesmond Road West, Newcastle Upon Tyne, England, GB","Jesmond Road West, Newcastle Upon Tyne, England, GB",
Garden Of 20 Purley Gardens Kenton,Purley Gardens Kenton,
"Tynemouth Garden, 16 Southlands","Tynemouth Garden, Southlands",
- 37 Pretoria Avenue; Morpeth," ""Pretoria Avenue; Morpeth""",
; 111 Roman Road Middlesbrough TS5 5QB," ""Roman Road Middlesbrough TS5 5QB""",
In garden 16 Southlands; Tynemouth," ""Southlands"," Tynemouth"""
Land opposite 4 Waterford Crescent; Whitley Bay," ""Land opposite Waterford Crescent; Whitley Bay""",
nr 132 Eastern Way; Darras Hall," ""Eastern Way; Darras Hall""",
31; Lyndhurst Ave; Jesmond," ""Lyndhurst Ave; Jesmond""",
33/34 Northside; Stamfordham," ""Northside; Stamfordham""",
3473 Richardson Road; Newcastle," ""Richardson Road; Newcastle""",
35A Broom Lane; Whickham," ""Broom Lane; Whickham""",
4307 Cheswick Barns; Northumberland," ""Cheswick Barns; Northumberland""",
4630 Temperance Yard; Ebchester," ""Temperance Yard; Ebchester""",
and 4 Harle Close; West Denton; Newcastle; NE5 5EH.," ""Harle Close; West Denton; Newcastle; NE5 5EH.""",
Ann Dobson's garden ponds; 1 Belle View Cottages;," ""Belle View Cottages;""",
Ouston; 34 Callander," ""Ouston; Callander""",
Rear of 10 Front Street; St John's Chapel," ""Front Street; St John's Chapel""",
Tynemouth Garden; 16 Southlands," ""Southlands"," Tynemouth"""
Willow Tree; 4 Thornlea," ""Willow Tree; Thornlea""",
Clara Vale; 12 North View (garden)," ""Clara Vale; North View (garden)""",
Dave Green's garden ponds; 33 Willow Road East; Da," ""Willow Road East; Da""",
Garden of 16 Southlands; Tynemouth.," ""Southlands"," Tynemouth"""
Sunniside; 52 Sunniside Rd," ""Sunniside"," Sunniside Road"""
Sunniside; 52 Sunniside Road," ""Sunniside"," Sunniside Road"""
"Walker, Newcastle upon Tyne NE6, Vereinigtes Königreich","Walker, Newcastle upon Tyne",
"QC8G+J6, Durham DH1 3LF, UK","Durham DH1 3LF, UK",
"11a Natley Avenue, East Boldon NE36 0LZ","Natley Avenue, East Boldon NE36 0LZ",
"G7GC+86, Ellingham, Chathill NE67 5EY, UK","Ellingham, Chathill NE67 5EY, UK",
"Longnewton,21 The Willow Chase","The Willow Chase, Longnewton",
Patch no.94 Site no:3 Sluice between Ponds 2 &amp; 3,Patch no.94 Site no:3 Sluice between Ponds 2,
The Brambles 125 Braunespath Estate New Brancepeth Durham DH7 7JQ,Braunespath Estate New Brancepeth Durham DH7 7JQ,
"Holroyd House, 43 Front Street",Front Street,
Land adjacent to 1 Plunkett Road,Land adjacent to Plunkett Road,
1 Fulbeck Road,Fulbeck Road,
"Garden pond, 12 East St","Garden pond, East St",
"Greystones, 7 East Blackdene St",East Blackdene St,
"Elwick, 9 North Close","Elwick, North Close",
Garden of 3 Railway Cottages,Garden of Railway Cottages,
76-78 Thorntree Drive,Thorntree Drive,
18-22 Moorfield,Moorfield,
48 Clarence Street,Clarence Street,
"Lindon Forge, 3 Lintzford Grange",Lintzford Grange,
6 The Willows,The Willows,
150A Western Way,Western Way,
71 Newgate St,Newgate St,
63-67 Newgate St, Newgate St,
12-42 Woodlands Road,Woodlands Road,
10 Dovecote St,Dovecote St,
164a Gilesgate,Gilesgate,
3-12 South Bailey,South Bailey,
17 Towneley Fields,Towneley Fields,
74 Thomas St,Thomas St,
91 Beatty Avenue,Beatty Avenue,
Greenfinch Way 6,Greenfinch Way,
31 Uplands,Uplands,
2 Low Cocken Farm,Low Cocken Farm,
35 Sunnyside,Sunnyside,
41a West End,West End,
Land at 35 Woodside,Land at Woodside,
"150A Western Way, Darras Hall, Ponteland, NE20 9LY","Western Way, Darras Hall, Ponteland",
"Land at 35 Woodside, Darras Hall, Ponteland, NE20 9JA","Woodside, Darras Hall, Ponteland",
Pinchinthorpe 3rd pond along ? largest pond,Pinchinthorpe 3rd pond along - largest pond,
Pinchinthorpe 4th pond ? small circular,Pinchinthorpe 4th pond - small circular,
"Guisborough,14 Rufford Close","Guisborough, Rufford Close",
"Guisborough,11 Dulverton Way","Guisborough, Dulverton Way",
"Craghead,74 Thomas Street","Craghead, Thomas Street",
"2-8 Eastwood Gardens, Gateshead, England, GB","Eastwood Gardens, Gateshead, England",
"25-29 Regent Road, Jarrow, England, GB","Regent Road, Jarrow, England",
"36-38, Raphael Ave",Raphael Ave,
"Unit 4, The Greenhouse, Amos Drive, Greencroft Industrial Park, Annfield Plain,","The Greenhouse, Amos Drive, Greencroft Industrial Park, Annfield Plain",
"Unit 4, The Greenhouse, Amos Drive, Greencroft Industrial Park, Annfield Plain","The Greenhouse, Amos Drive, Greencroft Industrial Park, Annfield Plain",
Gree5roft NR,Greencroft NR,
"Royal French Court, Flat 1 NE15 9V",Royal French Court,
Throckley 15 Vallum Place,Throckley Vallum Place,
"Land adjacent to 1 Plunkett Road, Dipton, Stanley, DH9 9BJ","Land adjacent to Plunkett Road, Dipton, Stanley",
"Lindon Forge, 3 Lintzford Grange, Lintzford, Rowlands Gill NE39 1HL","Lindon Forge, Lintzford Grange, Lintzford, Rowlands Gill",
"GFQ5+J5F Five Arches Bridge, Darlington DL1 2TX, UK","Five Arches Bridge, Darlington",
"GFQ5+J5F Five Arches Bridge, Darlington DL1 2PJ, UK","Five Arches Bridge, Darlington",
"Unit 19, Flexspace Business Centre Yarm Industrial Estate, Lingfield Way, Darlington DL1 4QZ","Flexspace Business Centre Yarm Industrial Estate, Lingfield Way, Darlington",
"Bestway cash and carry, Team Valley, 262, Princess Way Central, Gateshead NE11 0TU","Team Valley, Princess Way Central, Gateshead",
"West Bailey - Garth 7, Newcastle upon Tyne NE12 6EE, UK","West Bailey, Newcastle upon Tyne",
"Land adjacent to 6 The Willows, Bedlington, NE22 7DT","Land adjacent to The Willows, Bedlington",
2a Osborne Lane,Osborne Lane,
"Tallentyres, 72 Front Street West, Bedlington","Front Street West, Bedlington",
"Tallentyres, 72 Front Street West",Front Street West,
"578W+H7, Morpeth NE61 2YJ, UK",Morpeth,
"Unit 2/Bewick Main Caravan Park, Chester-le-Street DH2 1BQ","Bewick Main Caravan Park, Chester-le-Street",
Patch no.200 Site no:3 Confluence of South &amp; North Tyne - E.,Patch no.200 Site no:3 Confluence of South and North Tyne - E.,
Patch no.200 Site no:6 Confluence of South &amp; North Tyne - W.,Patch no.200 Site no:6 Confluence of South and North Tyne - W.,
Acomb 31 Bishops Hill,Bishops Hill,
"41A, North View, Fellside, Whickham, Gateshead, NE16 4BE","North View, Fellside, Whickham, Gateshead",
"Acklam,22 Mandale Road","Acklam, Mandale Road",
"Acklam,20 Preen Drive","Acklam, Preen Drive",
"Stockton,56 Londonderry Road","Stockton, Londonderry Road",
